dept,row,amount,year,dept2
CPB,CPB,75000106,2020,single
DHS,FEMA,7602054658,2020,single
DOC,NOAA,349642525,2020,single
DOI,OIA,41250001,2020,single
DOJ,BJA,849996367,2020,single
DOL,ETA,338671438,2020,single
DOT,FAA,9139688312,2020,DOT
DOT,FTA,24925000000,2020,DOT
EAC,HAVA,400010000,2020,single
ED,OESE,16336245000,2020,ED
ED,OPE,13866998225,2020,ED
FCC,TELE,189272484,2020,single
HHS,ACF,5603815048,2020,HHS
HHS,ACL,1204989062,2020,HHS
HHS,ASPR,349999999,2020,HHS
HHS,CDC,11873560172,2020,HHS
HHS,HRSA,69648692987,2020,HHS
HHS,IHS,444735819,2020,HHS
HHS,NIH,1685291,2020,HHS
HHS,OASH-OMH,14600000,2020,HHS
HHS,SAMHSA,383670243,2020,HHS
HUD,CPD,7026123046,2020,HUD
HUD,MFH,76901191,2020,HUD
HUD,PIH,1262795422,2020,HUD
IMLS,IMLS,30000000,2020,single
LSC,LSC,49470006.36,2020,single
NEA,NEA,65350000,2020,single
SBA,EIDL,1.51E+11,2020,SBA
SBA,PPP,5.21E+11,2020,SBA
TREAS,IRSEID,2.58E+11,2020,TREAS
TREAS,CRF,1.42E+11,2020,TREAS
TREAS,aviation,25668570335,2020,TREAS
USDA,FOOD,7430654707,2020,single
